,appearance,breakfast,service,staff,variety,price,taste,hotel
59,2,"Yes, next time not",5,9,1,3,3,3
60,8,"Yes, next time not",2,5,5,10,10,8
61,5,No,5,3,4,6,6,6
62,2,No,5,3,1,3,3,3
63,3,"Yes, again",8,5,1,4,4,5
64,3,No,5,4,2,4,4,4
65,2,No,5,3,1,3,3,3
66,2,No,5,2,1,3,3,3
67,4,"Yes, again",8,6,2,5,5,6
68,1,No,5,3,1,2,2,2
69,5,No,5,3,4,6,6,6
70,1,No,5,3,1,2,2,2
71,7,No,6,4,6,8,8,8
72,3,No,6,4,2,4,4,4
73,1,No,6,2,1,2,2,2
74,1,No,5,2,1,1,1,1
75,7,No,6,4,5,8,8,8
76,1,No,5,3,1,1,1,1
77,1,"Yes, next time not",3,6,1,2,2,2
78,1,No,5,4,1,2,1,1
79,3,No,4,6,2,4,5,4
80,1,"Yes, next time not",7,4,1,2,2,2
81,4,"Yes, again",9,2,3,5,5,6
82,1,No,6,3,1,1,1,1
83,1,No,5,4,1,2,2,2
84,5,No,5,2,3,6,6,6
85,3,No,5,2,2,4,4,4
86,4,No,5,4,3,6,6,6
87,1,No,5,4,1,2,2,2
88,1,No,5,2,1,1,1,1
89,7,No,4,3,6,8,8,8
90,2,"Yes, again",2,7,1,4,4,3
91,3,No,5,4,2,4,4,4
92,1,No,6,4,1,2,2,2
93,1,No,5,2,1,2,2,2
94,2,No,5,3,1,3,3,3
95,1,No,5,3,1,1,1,1
96,4,No,5,2,3,6,6,6
97,4,No,6,4,2,6,6,6
98,1,No,5,4,1,1,1,1
99,5,No,6,4,3,6,6,6
100,5,No,5,4,2,7,7,7
101,2,"Yes, again",8,4,1,3,3,3
102,7,No,5,4,9,8,8,8
103,7,No,6,4,6,8,8,8
104,9,"Yes, next time not",6,6,9,9,9,9
105,1,No,6,2,1,2,1,2
106,1,"Yes, next time not",7,2,1,1,1,1
107,1,No,5,3,1,2,2,2
108,4,No,5,2,3,6,6,6
109,6,No,5,2,4,8,8,7
110,4,No,5,1,5,6,6,6
111,4,"Yes, next time not",6,9,2,6,5,6
112,1,No,6,4,1,1,1,1
113,1,No,6,3,1,1,1,1
114,4,"Yes, next time not",8,4,2,6,6,6
115,6,No,5,4,3,7,7,7
116,7,No,6,3,5,8,8,8
117,5,No,5,3,5,6,6,6
118,1,No,5,4,1,2,1,1
119,9,"Yes, next time not",7,4,4,9,9,10
120,3,No,5,3,1,4,4,4
121,3,No,5,3,2,4,4,4
122,9,"Yes, next time not",2,8,10,10,10,8
123,5,No,5,2,4,6,7,6
124,3,No,4,3,2,5,5,4
125,1,No,5,2,1,2,2,2
126,1,No,5,3,1,2,2,2
127,5,"Yes, again",8,3,2,6,6,7
128,2,No,5,3,2,3,3,3
129,3,No,5,4,1,4,4,4
130,1,No,6,4,1,1,1,1
131,1,No,5,3,1,2,2,2
132,1,No,5,4,1,2,2,2
133,8,No,6,3,6,9,9,9
134,2,"Yes, next time not",5,7,1,3,3,3
135,3,"Yes, again",7,6,1,5,5,5
136,1,No,5,3,1,2,2,2
137,6,No,6,2,5,7,7,7
138,1,No,5,3,1,1,1,1
139,7,"Yes, next time not",6,5,5,8,8,8
140,1,No,5,2,1,1,1,2
141,3,"Yes, next time not",2,8,1,5,5,4
142,5,No,6,4,3,6,6,6
143,2,"Yes, next time not",4,6,1,3,3,3
144,4,"Yes, next time not",7,3,2,6,6,6
145,3,No,5,2,2,4,4,4
146,1,No,6,2,1,1,1,1
147,1,No,6,2,1,2,2,2
148,4,No,5,2,4,6,6,6
149,2,No,5,3,1,3,3,3
150,3,"Yes, again",7,3,2,4,5,5
151,1,No,5,4,1,1,1,1
152,3,No,6,2,2,4,4,4
153,3,"Yes, next time not",7,4,1,4,4,4
154,1,No,5,3,1,1,1,1
155,4,No,6,2,2,5,6,6
156,3,No,5,3,1,4,4,4
157,5,No,4,5,3,6,6,6
158,1,No,6,2,1,1,1,2
159,3,No,5,2,2,4,4,4
160,2,No,6,4,1,3,3,3
161,3,No,5,2,2,5,5,5
162,4,No,4,2,5,6,6,6
163,1,No,5,4,1,1,1,1
164,4,"Yes, again",7,4,2,5,5,6
165,5,No,5,3,4,6,6,6
166,1,"Yes, next time not",7,2,1,2,2,2
167,2,No,6,2,1,3,3,3
168,1,No,5,3,1,1,2,1
169,4,"Yes, next time not",6,6,2,5,5,5
170,1,No,5,3,1,2,2,2
171,2,No,5,4,1,3,3,3
172,5,No,6,1,5,7,7,7
173,1,No,5,4,1,2,2,2
174,1,No,5,4,1,1,1,1
175,6,No,4,3,4,8,8,7
176,4,No,5,4,3,6,6,6
177,3,"Yes, next time not",7,2,1,5,5,5
178,4,"Yes, next time not",6,3,3,6,6,6
179,3,No,4,4,2,4,5,4
180,2,No,5,3,2,3,4,3
181,1,"Yes, next time not",6,4,1,2,2,2
182,2,No,6,3,1,3,3,3
183,4,"Yes, next time not",2,7,2,6,6,5
184,1,"Yes, next time not",2,6,1,2,2,1
185,5,No,5,2,5,7,7,6
186,8,No,6,4,8,9,9,9
187,3,No,6,2,2,4,4,4
188,5,No,5,2,4,6,7,6
189,4,No,6,2,3,6,6,6
190,1,No,5,3,1,1,1,1
191,2,No,6,2,1,3,4,4
192,2,No,5,4,1,3,3,3
193,2,No,5,4,1,3,3,3
194,3,"Yes, again",7,4,2,4,4,5
195,1,No,6,2,1,2,2,2
196,5,No,5,3,3,6,6,6
197,1,No,5,3,1,1,1,1
198,1,No,5,4,1,1,1,1
199,1,No,5,2,1,2,2,2
200,1,No,5,3,1,2,2,2
201,5,No,6,1,5,6,6,6
202,2,No,6,3,1,3,3,3
203,2,No,5,2,1,3,3,3
204,6,No,6,1,6,7,7,7
205,7,No,6,4,6,8,8,8
206,1,No,5,4,1,1,1,1
207,1,No,5,2,1,2,2,2
208,1,No,6,4,1,1,1,1
209,2,No,6,3,1,3,3,3
210,4,"Yes, again",7,6,2,5,5,6
211,1,No,5,2,1,1,1,1
212,3,No,6,2,2,4,4,4
213,3,"Yes, next time not",5,6,2,4,5,4
214,8,No,5,4,9,9,9,8
215,4,"Yes, next time not",7,3,2,5,5,6
216,1,No,5,4,1,2,2,2
217,5,No,5,4,6,6,7,6
218,4,"Yes, next time not",7,4,4,6,6,6
219,3,No,5,4,2,4,4,4
220,5,No,5,3,4,7,7,7
221,5,No,6,4,3,7,7,7
222,5,No,6,4,3,6,6,6
223,2,No,5,2,1,3,3,3
224,1,No,5,3,1,1,1,1
225,1,No,5,2,1,1,1,1
226,2,"Yes, again",9,6,1,2,2,3
227,2,No,5,2,1,3,3,3
228,1,No,5,2,1,1,1,1
229,3,No,5,3,2,4,4,4
230,1,No,5,3,1,2,2,2
231,4,"Yes, next time not",7,5,3,6,6,6
232,1,No,6,1,1,1,1,1
233,5,No,6,2,6,6,7,6
234,1,No,5,1,1,2,2,2
235,4,No,5,3,3,6,6,6
236,2,No,5,3,1,3,3,3
237,5,No,6,3,4,6,6,6
238,4,"Yes, next time not",7,3,3,5,6,6
239,3,No,5,2,2,5,5,4
240,1,No,5,4,1,1,1,1
241,1,"Yes, next time not",6,2,1,2,2,2
242,1,No,5,4,1,1,1,1
243,1,No,5,3,1,2,2,2
244,1,No,6,4,1,2,2,2
245,1,No,5,2,1,2,2,2
246,4,"Yes, next time not",6,9,2,5,5,5
247,2,No,6,2,1,4,4,4
248,2,"Yes, next time not",7,3,1,4,4,4
249,2,"Yes, next time not",5,7,1,3,3,3
250,5,No,6,2,5,6,6,6
251,3,"Yes, next time not",3,8,2,5,5,5
252,7,No,4,3,8,8,8,8
253,7,No,5,4,5,8,8,8
254,2,"Yes, next time not",2,7,1,3,3,3
255,1,No,5,2,1,2,2,2
256,1,No,6,2,1,2,2,2
257,1,No,5,2,1,1,1,2
258,1,No,6,3,1,1,1,1
259,4,No,6,3,2,5,5,5
260,4,"Yes, again",8,6,3,6,5,6
261,1,No,5,4,1,2,2,2
262,1,No,5,3,1,2,2,2
263,4,No,5,3,5,6,6,6
264,2,No,5,4,1,3,3,3
265,1,No,5,2,1,1,1,1
266,2,No,4,3,1,3,3,3
267,3,No,5,3,2,5,4,4
268,7,No,5,2,6,8,8,8
269,1,No,6,4,1,2,2,2
270,5,No,6,2,3,6,6,6
271,3,No,5,4,2,4,5,4
272,4,No,4,6,3,6,6,6
273,5,No,5,3,7,7,7,7
274,1,No,6,2,1,2,2,2
275,4,No,6,3,5,6,6,6
276,2,"Yes, next time not",4,6,1,4,4,3
277,1,No,6,4,1,2,2,2
278,4,No,6,4,3,6,6,6
279,5,No,5,3,5,7,7,7
280,1,No,5,3,1,2,2,2
281,6,No,5,2,7,7,7,7
282,2,No,5,4,1,3,3,3
283,5,No,6,2,3,6,6,6
284,1,No,4,4,1,1,1,1
285,1,No,5,2,1,2,2,2
286,5,No,6,2,3,6,6,6
287,4,No,5,4,3,6,6,6
288,2,No,5,2,1,4,4,4
289,5,No,6,3,6,7,7,7
290,3,No,5,4,2,4,4,4
291,2,No,5,4,1,3,3,3
292,7,No,5,2,7,9,9,8
293,3,No,6,4,1,4,4,4
294,1,No,5,2,1,2,2,2
295,2,"Yes, next time not",6,4,1,3,3,3
296,5,No,5,4,3,7,7,7
297,2,No,5,2,1,4,4,4
298,4,"Yes, again",8,4,2,6,5,6
299,4,"Yes, next time not",2,7,2,6,6,5
300,1,No,5,2,1,1,1,1
301,1,No,5,3,1,1,1,1
302,1,No,5,2,1,2,2,2
303,1,No,6,1,1,1,2,2
304,9,"Yes, next time not",2,5,8,10,10,8
305,1,"Yes, next time not",6,4,1,2,2,2
306,3,No,6,4,1,4,4,4
307,4,No,3,2,4,6,6,5
308,1,No,5,4,1,2,2,2
309,2,No,5,3,1,3,3,3
310,5,No,5,3,3,6,6,6
311,3,No,5,2,1,4,4,4
312,6,No,6,3,7,7,7,7
313,2,No,5,4,1,4,4,4
314,3,No,5,4,2,4,4,4
315,3,No,5,3,2,5,5,5
316,1,"Yes, next time not",6,5,1,1,1,1
317,1,No,5,4,1,1,1,1
318,1,No,6,1,1,1,1,1
319,1,No,4,3,1,1,1,1
320,5,No,5,3,3,7,7,7
321,1,"Yes, next time not",6,7,1,2,2,2
322,2,No,4,2,1,3,3,3
323,2,No,5,4,2,4,4,4
324,2,"Yes, next time not",3,9,1,3,3,3
325,4,"Yes, next time not",6,4,2,5,5,5
326,1,No,6,4,1,1,1,1
327,5,No,5,3,6,7,7,7
328,1,No,5,2,1,2,2,2
329,1,No,5,3,1,1,1,1
330,1,No,5,2,1,2,2,2
331,2,"Yes, next time not",7,5,1,3,3,3
332,3,No,6,2,1,4,4,4
333,7,No,6,2,7,8,8,8
334,4,No,5,3,3,6,6,6
335,1,No,5,4,1,2,2,2
336,1,No,6,4,1,2,2,2
337,2,No,5,2,1,4,4,4
338,1,"Yes, next time not",5,6,1,1,1,1
339,3,No,6,3,2,5,5,5
340,2,No,5,2,2,3,3,3
341,5,"Yes, next time not",7,2,4,6,6,7
342,6,No,4,3,7,7,7,7
343,2,No,4,4,1,4,4,3
344,5,No,5,4,5,7,7,7
345,3,No,5,4,2,5,5,5
346,5,No,5,4,5,7,7,6
347,3,No,5,2,2,5,5,5
348,5,No,6,2,3,7,7,7
349,1,No,6,2,1,1,1,1
350,3,No,5,4,2,4,4,4
351,1,No,5,4,1,1,1,1
352,1,No,6,3,1,2,2,2
353,7,No,5,4,6,8,8,8
354,3,"Yes, next time not",5,6,2,4,4,4
355,3,No,5,2,3,4,4,4
356,3,No,5,2,2,5,5,5
357,3,No,6,2,1,4,4,4
358,4,"Yes, again",8,5,4,5,5,6
359,2,"Yes, next time not",5,7,1,4,3,3
360,1,No,5,2,1,2,2,2
361,2,No,5,4,1,3,3,3
362,3,No,6,4,2,5,5,5
363,4,"Yes, next time not",6,3,3,6,6,6
364,2,No,4,3,1,4,4,3
365,5,No,5,3,3,7,7,7
366,1,No,6,4,1,1,1,1
367,9,"Yes, next time not",6,5,6,9,9,10
368,3,"Yes, next time not",7,2,2,4,4,5
369,3,No,6,2,1,4,4,4
370,1,"Yes, next time not",7,4,1,1,1,2
371,2,No,5,3,2,4,4,4
372,4,No,5,4,6,6,6,6
373,1,No,5,3,1,1,1,1
374,4,"Yes, next time not",7,6,2,5,5,5
375,2,No,6,2,1,4,4,4
376,3,"Yes, next time not",6,2,2,5,5,5
377,1,No,6,3,1,2,1,2
378,3,No,5,2,2,4,4,4
379,1,No,4,3,1,2,2,2
380,1,No,5,3,1,2,2,2
381,3,"Yes, again",7,5,2,4,4,5
382,2,"Yes, next time not",2,4,1,3,3,3
383,2,No,5,4,1,3,3,3
384,1,No,6,3,1,1,1,1
385,10,No,6,2,8,10,10,10
386,3,No,6,2,2,4,4,4
387,4,No,6,5,4,6,6,6
388,3,No,5,4,2,5,5,4
389,1,"Yes, next time not",6,4,1,2,2,2
390,4,No,5,4,4,6,6,6
391,1,"Yes, next time not",7,3,1,1,1,2
392,1,No,5,4,1,1,1,1
393,4,No,5,4,5,6,6,6
394,3,"Yes, next time not",7,2,2,5,4,5
395,2,No,4,2,1,3,4,3
396,5,No,6,3,3,6,6,6
397,7,No,5,4,9,8,8,8
398,3,"Yes, next time not",7,4,2,5,5,5
399,1,No,5,4,1,1,1,1
400,2,No,6,2,1,3,3,3
401,2,No,5,3,1,4,4,3
402,4,No,5,2,3,6,6,6
403,2,No,5,4,1,4,4,3
404,4,"Yes, next time not",7,7,4,6,6,6
405,1,No,6,3,1,1,1,1
406,4,No,5,3,2,6,6,6
407,2,No,5,3,1,3,3,3
408,3,No,5,3,2,4,4,4
409,7,No,6,4,5,8,8,8
410,4,No,4,5,4,6,6,6
411,2,No,4,3,1,3,3,3
412,1,No,5,3,1,1,1,1
413,3,No,5,3,3,4,4,4
414,3,No,6,4,2,5,5,5
415,7,"Yes, again",10,5,4,7,7,9
416,1,No,6,3,1,1,1,2
417,2,No,5,2,1,3,3,3
418,8,No,6,4,6,9,8,9
419,4,"Yes, next time not",7,5,3,6,5,6
420,1,"Yes, next time not",7,2,1,2,2,2
421,3,"Yes, next time not",2,6,1,5,5,4
422,1,No,5,2,1,2,2,2
423,1,No,5,2,1,2,2,2
424,3,No,6,3,2,4,4,5
425,1,No,6,2,1,2,2,2
426,4,No,5,4,2,5,6,5
427,7,No,5,4,5,8,8,8
428,5,No,6,3,3,6,6,6
429,1,No,5,4,1,1,1,1
430,1,No,5,3,1,1,1,1
431,3,No,5,2,2,5,5,5
432,5,No,4,3,6,7,7,7
433,5,No,5,2,4,6,7,6
434,2,"Yes, next time not",6,2,1,3,3,4
435,2,No,6,2,1,3,3,3
436,5,No,5,4,6,6,6,6
437,4,No,5,3,3,6,6,6
438,2,No,5,4,1,3,3,3
439,2,No,5,2,1,4,4,4
440,9,No,5,2,9,10,10,10
441,1,No,6,2,1,2,2,2
442,5,No,4,4,5,6,6,6
443,1,No,6,2,1,1,1,2
444,2,No,6,2,1,3,3,3
445,1,No,5,4,1,1,1,1
446,1,No,6,4,1,2,2,2
447,3,No,6,2,2,5,5,5
448,1,No,5,2,1,2,2,2
449,2,"Yes, next time not",6,4,1,3,3,3
450,1,No,5,4,1,2,2,2
451,5,No,5,4,5,7,6,6
452,1,"Yes, next time not",7,3,1,1,1,2
453,2,"Yes, next time not",3,6,1,3,3,3
454,1,No,6,3,1,1,1,1
455,1,No,4,3,1,2,2,2
456,5,No,5,4,3,6,6,6
457,5,No,6,4,3,7,7,7
458,4,"Yes, again",10,6,2,5,5,6
459,1,No,5,2,1,2,2,2
460,4,"Yes, next time not",7,4,2,6,6,6
461,2,No,6,2,1,3,3,3
462,5,No,4,4,5,6,6,6
463,3,No,5,3,2,4,4,4
464,2,No,5,2,1,3,4,3
465,2,No,6,3,1,3,3,3
466,4,No,5,4,3,6,6,6
467,2,No,5,3,1,3,3,3
468,3,No,5,2,2,5,5,5
469,1,No,5,3,1,2,2,2
470,2,"Yes, next time not",7,3,1,3,3,3
471,1,"Yes, next time not",6,4,1,1,1,1
472,4,No,5,1,3,6,6,6
473,4,"Yes, again",5,6,2,6,6,6
474,7,No,5,4,7,8,8,8
475,7,"Yes, again",10,5,4,7,7,9
476,2,No,6,3,1,3,3,3
477,2,No,5,4,1,4,4,3
478,5,No,5,4,3,6,6,6
479,1,No,5,3,1,2,2,2
480,3,"Yes, next time not",7,4,2,5,5,5
481,1,No,5,2,1,2,2,2
482,4,No,4,2,6,6,6,6
483,2,No,5,4,1,3,3,3
484,2,No,5,2,1,4,4,3
485,1,No,5,2,1,2,2,2
486,1,No,5,4,1,2,2,2
487,4,"Yes, again",7,5,3,5,5,6
488,3,No,6,4,2,4,4,4
489,1,No,5,3,1,1,1,1
490,1,No,5,4,1,2,2,2
491,1,No,5,2,1,1,1,1
492,1,No,6,4,1,1,1,1
493,3,No,5,2,2,4,4,4
494,4,No,5,4,3,6,6,6
495,7,"Yes, next time not",2,9,4,8,8,7
496,3,No,6,3,2,5,5,5
497,6,No,5,4,7,8,7,7
498,3,"Yes, next time not",4,8,1,4,4,4
499,4,"Yes, again",8,6,3,6,5,6
500,7,No,4,4,6,8,8,8
501,7,No,5,3,5,9,8,8
502,1,No,5,2,1,2,2,2
503,4,No,5,3,6,6,6,6
504,1,No,6,2,1,2,2,2
505,2,No,6,2,1,3,3,3
506,1,No,5,3,1,2,2,2
507,1,No,5,4,1,2,2,2
508,1,No,6,2,1,1,1,1
509,7,No,5,2,7,8,8,8
510,7,"Yes, again",8,5,3,8,7,8
511,3,"Yes, next time not",6,4,2,4,4,5
512,8,No,6,3,6,9,9,9
513,2,No,5,4,2,3,3,3
514,5,No,5,4,3,7,7,7
515,5,No,4,3,5,7,6,6
516,1,No,5,2,1,1,1,1
517,1,No,5,4,1,2,1,1
518,1,No,6,3,1,2,2,2
519,1,No,5,3,1,2,2,2
520,1,"Yes, next time not",7,3,1,1,1,2
521,1,No,4,3,1,2,2,2
522,1,No,6,4,1,1,1,1
523,1,No,5,2,1,1,1,1
524,1,"Yes, next time not",5,7,1,2,2,2
525,1,"Yes, next time not",6,4,1,2,2,2
526,4,No,5,4,3,5,5,5
527,1,No,5,2,1,2,2,2
528,1,"Yes, next time not",6,4,1,2,2,2
529,2,No,5,2,1,4,4,4
530,2,No,5,4,1,3,3,3
531,1,No,6,4,1,1,1,2
532,6,No,4,4,4,8,8,7
533,1,No,6,1,1,2,2,2
534,1,"Yes, next time not",7,4,1,2,2,2
535,1,No,6,4,1,2,2,2
536,2,No,5,4,1,4,4,4
537,3,"Yes, next time not",7,3,2,4,4,5
538,4,"Yes, next time not",5,6,3,6,6,6
539,9,No,5,2,8,10,10,9
540,4,No,5,3,3,6,6,6
541,1,No,6,2,1,1,1,1
542,4,"Yes, next time not",6,4,3,6,6,6
543,2,No,5,2,1,3,3,3
544,1,No,5,2,1,2,2,2
545,1,No,5,4,1,2,2,2
546,4,No,5,3,3,6,6,6
547,3,"Yes, next time not",7,6,2,4,4,5
548,4,No,5,4,6,6,6,6
549,1,No,5,2,1,2,2,2
550,1,No,5,2,1,2,2,2
551,1,No,5,4,1,2,2,2
552,1,No,5,2,1,2,2,2
553,4,No,5,3,5,6,6,6
554,2,No,5,2,1,3,3,3
555,6,No,5,2,4,7,7,7
556,2,No,6,2,1,3,3,3
557,9,No,5,4,10,9,10,9
558,1,No,5,2,1,2,2,2
559,1,No,6,3,1,2,2,2
560,5,No,5,3,4,7,7,6
561,1,No,5,4,1,1,1,1
562,1,No,6,4,1,2,2,2
563,6,No,6,4,3,7,7,7
564,1,No,5,3,1,2,2,2
565,1,No,6,3,1,2,2,2
566,7,No,5,3,7,8,8,8
567,10,No,4,6,9,10,10,9
568,1,No,5,4,1,2,2,2
569,5,No,5,4,6,7,6,6
570,3,No,6,4,2,5,5,5
571,2,No,5,2,2,3,3,3
572,5,No,6,4,3,7,7,7
573,1,"Yes, next time not",5,7,1,1,1,1
574,9,"Yes, next time not",7,6,9,9,9,10
575,10,No,6,4,9,10,10,10
576,1,No,6,4,1,2,2,2
577,2,No,5,2,1,4,4,3
578,4,No,6,3,4,6,6,6
579,2,"Yes, next time not",3,6,1,3,3,2
580,3,"Yes, again",8,3,1,4,4,5
581,5,"Yes, next time not",2,6,3,7,7,6
582,1,No,5,2,1,2,2,2
583,7,No,4,4,6,8,8,8
584,2,"Yes, next time not",6,3,1,3,3,3
585,4,No,5,4,3,6,6,6
586,1,No,5,4,1,2,2,2
587,1,"Yes, next time not",7,4,1,1,1,2
588,1,No,5,4,1,1,1,1
589,4,No,4,4,3,6,6,6
590,2,No,6,2,1,3,3,3
591,1,No,5,2,1,2,2,2
592,4,"Yes, again",8,4,5,5,5,6
593,5,No,6,2,3,6,6,6
594,1,"Yes, next time not",7,4,1,1,1,2
595,2,No,5,3,2,3,3,3
596,1,No,6,2,1,2,2,2
597,4,"Yes, next time not",7,3,3,5,5,6
598,1,No,6,2,1,1,1,1
599,5,No,6,2,4,6,7,7
600,1,No,6,2,1,2,2,2
601,1,No,6,1,1,2,2,2
602,4,"Yes, next time not",7,2,3,6,5,6
603,4,"Yes, next time not",4,8,3,6,6,5
604,9,No,5,2,6,10,10,10
605,4,"Yes, next time not",7,2,3,6,6,6
606,2,No,5,2,1,4,4,4
607,2,No,6,4,1,3,3,3
608,1,No,5,4,1,1,1,1
609,1,No,6,2,1,2,2,2
610,4,No,5,4,5,6,6,6
611,2,No,5,2,2,4,4,4
612,1,No,5,4,1,2,2,2
613,3,"Yes, next time not",6,2,2,5,5,5
614,2,No,5,2,1,3,3,3
615,2,No,5,2,1,3,3,3
616,4,No,5,3,5,6,6,6
617,3,"Yes, next time not",4,6,2,4,4,4
618,2,No,5,3,1,3,3,3
619,2,No,6,2,1,3,3,3
620,1,No,5,3,1,2,2,2
621,4,"Yes, next time not",6,6,4,6,6,6
622,1,No,5,2,1,2,2,2
623,1,No,5,2,1,1,1,1
624,3,"Yes, again",6,4,2,4,4,4
625,3,No,5,4,2,4,4,4
626,1,"Yes, next time not",6,4,1,1,1,1
627,1,No,5,1,1,2,2,2
628,4,"Yes, next time not",6,5,4,6,6,6
629,8,No,6,3,8,9,9,9
630,3,"Yes, again",8,4,1,4,4,5
631,1,No,6,2,1,2,2,2
632,4,No,5,4,2,5,5,5
633,1,No,5,2,1,2,2,2
634,2,No,5,4,1,3,3,3
635,2,No,5,3,1,3,3,3
636,1,No,6,3,1,2,2,2
637,2,No,5,2,1,3,3,3
638,4,No,5,3,3,5,5,5
639,7,No,4,6,5,8,8,7
640,4,"Yes, again",10,9,2,5,4,6
641,1,No,6,2,1,2,2,2
642,1,No,4,4,1,2,2,2
643,1,No,6,2,1,2,2,2
644,6,No,6,4,4,7,7,7
645,7,"Yes, next time not",6,4,5,8,8,8
646,4,"Yes, next time not",6,4,2,5,5,5
647,2,No,5,4,1,3,4,3
648,5,No,6,4,4,6,6,6
649,1,No,5,2,1,2,2,2
650,2,"Yes, next time not",7,4,1,3,3,3
651,2,No,6,3,1,3,3,3
652,4,No,5,4,3,6,6,6
653,4,"Yes, next time not",2,5,3,6,6,5
654,3,No,6,4,2,5,5,5
655,1,No,5,3,1,1,1,1
656,4,No,6,3,3,6,6,6
657,2,"Yes, next time not",7,4,1,3,3,3
658,1,No,6,3,1,2,2,2
659,2,"Yes, next time not",7,3,1,3,3,3
660,2,No,5,2,1,3,3,3
661,2,"Yes, again",1,6,1,3,3,2
662,4,"Yes, next time not",2,7,2,6,6,5
663,9,"Yes, next time not",6,6,8,9,9,9
664,2,No,5,3,1,3,3,3
665,1,No,5,3,1,1,1,1
666,1,"Yes, next time not",7,1,1,2,2,2
667,1,No,6,2,1,2,2,2
668,2,"Yes, next time not",7,2,1,3,3,3
669,9,No,5,4,8,9,10,9
670,5,No,5,4,4,6,6,6
671,5,No,5,2,9,7,7,7
672,2,"Yes, next time not",7,6,1,3,3,4
673,2,No,5,3,2,3,3,3
674,1,No,5,4,1,2,2,2
675,5,No,4,4,6,7,7,6
676,1,No,6,4,1,2,2,2
677,2,No,5,3,2,4,4,4
678,2,No,6,4,1,3,2,3
679,2,"Yes, next time not",7,4,1,3,3,3
680,1,No,5,2,1,2,2,2
681,1,No,6,4,1,1,1,2
682,7,No,5,4,9,8,8,8
683,1,No,5,4,1,1,1,1
684,3,No,6,2,2,4,5,5
685,4,"Yes, again",5,9,2,6,6,6
686,3,No,5,3,2,5,5,5
687,9,No,5,3,9,9,10,9
688,1,"Yes, next time not",7,5,1,2,2,2
689,4,No,4,4,3,6,6,6
690,6,No,5,3,6,7,7,7
691,4,"Yes, next time not",7,2,3,5,5,5
692,5,No,6,2,3,6,6,6
693,5,No,5,3,3,7,7,7
694,1,No,6,2,1,1,1,1
695,6,No,5,3,7,7,7,7
696,4,"Yes, next time not",5,8,2,6,6,5
697,6,No,6,3,3,7,7,7
698,4,"Yes, next time not",3,6,3,6,6,6
699,1,No,5,3,1,1,1,1
700,7,No,5,4,8,8,8,8
701,7,"Yes, next time not",5,9,4,8,8,8
702,1,No,5,4,1,2,2,2
703,8,No,5,3,8,9,9,8
704,4,"Yes, again",8,4,2,6,5,6
705,1,No,5,4,1,2,2,2
706,6,No,5,2,6,8,8,8
707,1,"Yes, next time not",7,3,1,2,2,3
708,1,No,6,3,1,1,1,1
709,1,No,6,1,1,2,2,2
710,5,No,5,4,3,6,6,6
711,2,No,5,2,1,4,4,4
712,4,No,6,2,3,6,6,6
713,1,No,5,3,1,2,2,2
714,4,"Yes, next time not",2,7,3,6,6,5
715,1,No,5,3,1,2,2,2
